15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Stored UpdateTime: ID=File deliver, timestamp=2024-12-24 15:31:06.269468
15:31:06 24.12.2024 [             deliver.file]: |   INFO|: Files at /home/x_good/repo/crosstest/sample/repo...
15:31:06 24.12.2024 [             deliver.file]: |  DEBUG|: User /home/x_good/repo/crosstest/sample/repo/student
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Homework: ID=f./home/x_good/repo/crosstest/sample/repo/student/first, TASK_ID=first, USER_ID=Smart student, ti
15:31:06 24.12.2024 [             deliver.file]: |  DEBUG|: Added task first           for user Smart student  
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Homework: ID=f./home/x_good/repo/crosstest/sample/repo/student/second, TASK_ID=second, USER_ID=Smart student, 
15:31:06 24.12.2024 [             deliver.file]: |  DEBUG|: Added task second          for user Smart student  
15:31:06 24.12.2024 [             deliver.file]: |  DEBUG|: User /home/x_good/repo/crosstest/sample/repo/teacher
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Homework: ID=f./home/x_good/repo/crosstest/sample/repo/teacher/first, TASK_ID=first, USER_ID=The teacher, time
15:31:06 24.12.2024 [             deliver.file]: |  DEBUG|: Added task first           for user The teacher    
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Homework: ID=f./home/x_good/repo/crosstest/sample/repo/teacher/second, TASK_ID=second, USER_ID=The teacher, ti
15:31:06 24.12.2024 [             deliver.file]: |  DEBUG|: Added task second          for user The teacher    
15:31:06 24.12.2024 [             deliver.file]: |  DEBUG|: User /home/x_good/repo/crosstest/sample/repo/studentka
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Homework: ID=f./home/x_good/repo/crosstest/sample/repo/studentka/first, TASK_ID=first, USER_ID=Beautiful stude
15:31:06 24.12.2024 [             deliver.file]: |  DEBUG|: Added task first           for user Beautiful student
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Homework: ID=f./home/x_good/repo/crosstest/sample/repo/studentka/second, TASK_ID=second, USER_ID=Beautiful stu
15:31:06 24.12.2024 [             deliver.file]: |  DEBUG|: Added task second          for user Beautiful student
15:31:06 24.12.2024 [                     make]: |   INFO|: Parse and store all homeworks...
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Searched for Homework
15:31:06 24.12.2024 [                     make]: |  DEBUG|: Started check parsing for f./home/x_good/repo/crosstest/sample/repo/student/first homework
15:31:06 24.12.2024 [                     make]: |  DEBUG|: Extracted ['Smart student:first/02', 'Smart student:first/01'] checks from f./home/x_good/repo/crosstest/sample/repo/student/first homework
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=Smart student:first/02, TASK_ID=first, USER_ID=Smart student, category=CheckCategoryEnum.runtime,
15:31:06 24.12.2024 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=Smart student:first/01, TASK_ID=first, USER_ID=Smart student, category=CheckCategoryEnum.runtime,
